wavelength_nm,R,T,A
400,0.30907649077,0.0560626687102,0.63486084052
402,0.309454387039,0.0567330349016,0.633812578059
404,0.30975916615,0.0574098219344,0.632831011916
406,0.309935101503,0.0580980590108,0.631966839486
408,0.309951055694,0.0588010008169,0.631247943489
410,0.309804828377,0.0595195805087,0.630675591114
412,0.309522288397,0.0602522845533,0.630225427049
414,0.30915186706,0.0609954449775,0.629852687962
416,0.308755640469,0.0617438807969,0.629500478734
418,0.308398646165,0.0624917706336,0.629109583202
420,0.308138243682,0.0632336071763,0.628628149142
422,0.30801522321,0.0639650756581,0.628019701132
424,0.308047996286,0.0646837157527,0.627268287961
426,0.308230619184,0.0653892676681,0.626380113148
428,0.30853471065,0.0660836612821,0.625381628068
430,0.308914672037,0.066770669677,0.624314658286
432,0.309315132015,0.0674553020736,0.623229565912
434,0.309679300764,0.0681430457996,0.622177653436
436,0.30995693899,0.0688390784956,0.621203982515
438,0.310110871848,0.0695475623681,0.620341565784
440,0.310121321209,0.070271108164,0.619607570627
442,0.309987706808,0.0710104649953,0.619001828197
444,0.309727916571,0.0717644592191,0.61850762421
446,0.309375336537,0.0725301750447,0.618094488418
448,0.308974150946,0.0733033432552,0.617722505799
450,0.308573572313,0.0740788832896,0.617347544397
452,0.308221738474,0.0748515288928,0.616926732634
454,0.307960014197,0.0756164599084,0.616423525895
456,0.307818354939,0.076369863956,0.615811781105
458,0.30781223296,0.0771093623463,0.615078404694
460,0.307941408015,0.0778342538034,0.614224338182
462,0.308190576723,0.0785455547092,0.613263868567
464,0.308531695893,0.0792458416056,0.612222462501
466,0.308927583362,0.0799389260678,0.61113349057
468,0.30933628233,0.080629410051,0.610034307619
470,0.309715641026,0.0813221793055,0.608962179668
472,0.310027600959,0.0820218933263,0.607950505715
474,0.310241783205,0.0827325240466,0.607025692748
476,0.310338087866,0.0834569845089,0.606204927626
478,0.310308153554,0.0841968755372,0.605494970909
480,0.310155645205,0.0849523649889,0.604891989807
482,0.309895440728,0.0857222017323,0.604382357539
484,0.309551867723,0.0865038556262,0.603944276651
486,0.3091562016,0.0872937656211,0.603550032779
488,0.308743677816,0.0880876706689,0.603168651515
490,0.308350294066,0.0888809925567,0.602768713377
492,0.308009682447,0.089669236385,0.602321081168
494,0.307750315098,0.0904483736349,0.601801311268
496,0.30759326888,0.0912151749763,0.601191556144
498,0.307550716781,0.0919674652376,0.600481817981
500,0.307625240636,0.0927042809429,0.599670478422
502,0.307809979218,0.0934259206674,0.598764100115
504,0.308089547437,0.0941338889776,0.597776563585
506,0.308441595761,0.0948307445604,0.596727659679
508,0.308838831612,0.0955198711255,0.595641297263
510,0.309251300331,0.096205194965,0.594543504704
512,0.309648722314,0.0968908753707,0.593460402315
514,0.310002701715,0.0975809936213,0.592416304664
516,0.310288654903,0.0982792635202,0.591432081577
518,0.310487347249,0.0989887822377,0.590523870513
520,0.31058596889,0.09971183525,0.58970219586
522,0.310578719564,0.100449764103,0.588971516333
524,0.310466906724,0.101202900988,0.588330192288
526,0.310258589003,0.101970569921,0.587770841076
528,0.309967818864,0.102751150722,0.587281030414
530,0.309613554664,0.103542198978,0.586844246358
532,0.309218324306,0.104340612629,0.586441063065
534,0.308806730551,0.105142833796,0.586050435653
536,0.308403892162,0.105945072891,0.585651034947
538,0.308033914979,0.106743541114,0.585222543907
540,0.307718482356,0.107534677154,0.58474684049
542,0.307475644773,0.108315354504,0.584209000724
544,0.30731887392,0.109083057207,0.583598068873
546,0.307256427697,0.109836014173,0.58290755813
548,0.307291050674,0.110573285171,0.582135664155
550,0.307420011403,0.111294795085,0.581285193512
552,0.307635455501,0.112001316628,0.580363227871
554,0.307925033854,0.112694405145,0.579380561001
556,0.308272750064,0.113376292068,0.578350957867
558,0.308659961672,0.114049745776,0.577290292552
560,0.309066465848,0.114717909971,0.57621562418
562,0.309471602015,0.115384130124,0.575144267861
564,0.309855310089,0.116051778193,0.574092911718
566,0.310199092636,0.116724084874,0.57307682249
568,0.310486840631,0.117403987192,0.572109172177
570,0.310705494581,0.118093997601,0.571200507817
572,0.310845524315,0.118796099036,0.570358376649
574,0.310901221137,0.119511668719,0.569587110144
576,0.310870804894,0.120241432003,0.568887763103
578,0.310756355643,0.12098544627,0.568258198087
580,0.310563585242,0.121743113763,0.567693300995
